toy_id,Nnorm,P_N2,tau_N2,K_N2_Q_N2,K_N2_Q_Ar,K_ArMeta_Q_N2c,K_ArMeta_Q_N2b,K_ArMeta_Q_2Ar,K_ArRes_Q_N2c,K_ArRes_Q_N2b,K_ArRes_Q_2Ar,P_Ar_dbleStar,frac_Ar_dbleStar
11,0.012275331256588392,0.6000631963730634,37.80718336483932,0.20133785145969993,0.03477927879507539,0.8188412952770396,0.019593960000003206,0.01585999997569986,0.46896172560465627,0.3673867499269236,0.0004620000307487486,5.851872207414717e-14,0.9999994184118688
12,0.012751467349126156,0.6069310190598889,37.80718336483932,0.20144747621426135,0.03477927894570886,0.8234587719724451,0.01959396033915324,0.01585999597491338,0.4729295073915435,0.36738674858000425,0.0004620000586064657,4.999144094283855e-13,0.6352507583101811
13,0.012765294455454884,0.6071784257951613,37.80718336483932,0.2014499580646156,0.03477927899988091,0.8236835418053001,0.019593960000000025,0.015859999999830874,0.4730588257380206,0.3673867499999682,0.0004620000000000653,2.3401216938506235e-12,0.0032494581768489628
14,0.01273586435577401,0.6067693754253344,37.80718336483932,0.20144480249347352,0.03477927899901335,0.8233681169802017,0.019593960013083903,0.015859999979610073,0.472826046137759,0.367386749984335,0.0004620000027641037,8.503402638269052e-14,0.9897200072412669
15,0.012980591904004569,0.6101319799005925,37.80718336483932,0.20149609188062023,0.03477927899876819,0.8256879091125255,0.019593960000000018,0.015859999976557085,0.47476709131692574,0.367386749999603,0.00046200000000000033,2.911923247870552e-11,0.003053211483695084
16,0.01205651593464661,0.5966930863705544,37.80718336483932,0.20128738319084985,0.034779278991660376,0.8165004331624377,0.019593960411755602,0.01585999996902995,0.46702331569314437,0.3673867499987668,0.0004620000003967691,1.6108614737641805e-11,0.9999999998071927
17,0.012541926613137484,0.6039848085437285,37.80718336483932,0.20142810777152567,0.03477926756220665,0.8209373163926402,0.019593960096039486,0.015858243416449917,0.4711789072318215,0.36738674999912146,0.00046200011284844517,1.615743356456997e-11,0.9999722233285516
18,0.01275855259537869,0.6070842245574657,37.80718336483932,0.2014485736060432,0.03477927899998688,0.8236176434377888,0.019593960000000018,0.015859999999997248,0.4730043657319148,0.3673867499999989,0.00046200000000003226,3.3663633745940683e-13,0.9978002289444141
19,0.01311391777817349,0.6119124477377923,37.80718336483932,0.2015226348237003,0.034779278999991,0.8269143325228214,0.019593960000000004,0.015859999999557863,0.4758009034811687,0.36738674999999715,0.00046200000000000006,2.562134950503929e-13,0.9999999999887058
20,0.012563852701827121,0.6043855162149337,37.80718336483932,0.20141952090993123,0.03477927899581483,0.821657490356981,0.019594010754790694,0.015859469653013714,0.47147849524342506,0.367386749992148,0.00046200000043611394,5.674518163537116e-13,0.9949282045436986
