toy_id,Nnorm,P_CF3_vis_dir,P_Ar_dbleStar,K_Ar_dbleStar_Q_Ar,K_Ar_dbleStar_Q_CF4,inv_tau_dis_K_relax,tau_uv_K_CF4_Q_CF4,P_CF4_dir,K_Ar3rd_Q_CF4,P_Ar3rd,P_CF3_uv_dir
28,0.0053907167394078885,0.10607484557976858,0.24258922908840724,0.3144463938590202,11.499999999999952,0.00885806597193206,0.065,0.18147386848317093,50.05,0.4161227627855459,1.9097413240841453e-25
29,0.005198148049772541,0.10131182624983856,0.23056795884097195,0.31848396893512865,11.49999999999922,0.0078914727766063,0.065,0.184094529443494,50.05,0.40860133050925096,8.584100745598352e-29
30,0.005276976333501126,0.10491499579871905,0.23948968075286772,0.31598089750143205,11.49999999892005,0.008286389449290823,0.065,0.18297031885298704,50.05,0.41158122452141266,3.204128991663116e-30
31,0.0048154926040640065,0.12272580303960279,0.2811851125905249,0.31294482737113766,11.499999999999998,0.0060191458550386805,0.065,0.19074800109524456,50.05,0.3966965313657437,7.226604869673786e-24
32,0.005265237611214192,0.11319512551737212,0.2594680874823429,0.3125700123676753,11.499999999999998,0.008227553966054929,0.065,0.1831325580157115,50.05,0.41112674371747737,5.177389481429952e-21
33,0.005172847060384355,0.11485060466748023,0.2632173012346428,0.3127107992260786,11.499999999999998,0.007765401265096804,0.065,0.18446909559709723,50.05,0.40767008339444555,1.5790105182450455e-20
34,0.004713504401342038,0.10600966007456143,0.24045156756375588,0.3212958418441296,11.499999999999467,0.005541796807545544,0.065,0.1929054055460319,50.05,0.39440415618640423,9.427031161874208e-29
35,0.00559840387020188,0.12709639382296786,0.29389111597552514,0.3055530543498668,11.499999999714566,0.009899962422171532,0.065,0.17908650433827933,50.05,0.4250251620206788,2.0550363438799463e-16
36,0.004957973555019249,0.12340652667381914,0.28327182953305285,0.31143089019302905,11.499999999999998,0.006704170215547351,0.065,0.18801882322716237,50.05,0.4005665076642096,1.2686599484733608e-22
37,0.005447884989301095,0.10710663309206589,0.24522689293057906,0.3135176006285222,11.499999999999998,0.009145414044876753,0.065,0.1807748766283967,50.05,0.41850330373816713,2.5559029418716322e-23
38,0.004928456144029065,0.10195993051354917,0.2313514464620751,0.32098444481502164,11.499999999692221,0.006560774221273796,0.065,0.18855804999424677,50.05,0.39970449172259126,8.50586819644304e-22
39,0.004846950066156962,0.10936482813025981,0.2489956816895027,0.31814761758251264,11.499999999902041,0.006168733024858395,0.065,0.19011760012176876,50.05,0.3974863787206393,1.485297792871129e-23
40,0.0052250331022656105,0.11626529511857543,0.26677874805814483,0.3117373495671216,11.499999999999998,0.008026245264978625,0.065,0.18370071606604546,50.05,0.40959489246995745,7.438198662321011e-24
41,0.005252835466067971,0.11116644800374614,0.25453257810457053,0.31348388108403313,11.499999999999998,0.008165184106915548,0.065,0.18330746690614458,50.05,0.4106552896145379,2.90519207546554e-22
42,0.005407761136018671,0.10034201908947679,0.22877800002561274,0.3169670005405165,11.499999999864043,0.008943830205721764,0.065,0.18126143605137915,50.05,0.41682477029121456,2.777782181318892e-29
43,0.005268167696256759,0.11142491968848701,0.25519822867144354,0.3132475125579464,11.499999999999998,0.008242262228241941,0.065,0.18309173299587295,50.05,0.41123935613314316,6.687106028024323e-24
44,0.005397371660771085,0.11100544721109555,0.25452110147849,0.31233900920572205,11.499999999999998,0.008891546777478573,0.065,0.18139059986072223,50.05,0.4163963199199181,6.728960524545025e-23
45,0.00503899544969735,0.15403134549099945,0.35750152144771635,0.30262787145062076,11.499999999431743,0.0071010807602096765,0.065,0.18660534457167285,50.05,0.4030824205802954,2.493812564671459e-25
46,0.005315795580881176,0.08926366824221249,0.20176208519505184,0.32425840129356226,11.499999999999913,0.0084815223177788,0.065,0.18244225508094006,50.05,0.4130973613687841,1.6459454433233415e-25
47,0.005080160783582846,0.12247553319711009,0.28138110427043106,0.31072218596581486,11.499999999999998,0.007304368277473359,0.065,0.18592302934724572,50.05,0.40443959336670016,3.770523940794413e-23
48,0.004985201189569766,0.08394842576216956,0.187977758251497,0.3323795420672354,11.499999999034733,0.006836757811979293,0.065,0.18753574699143327,50.05,0.4013962313049357,2.5663063872749425e-23
49,0.005526042529135062,0.10623320566537636,0.24330857109962795,0.3132441368695532,11.499999999999998,0.00953761945610524,0.065,0.17987258676744894,50.05,0.4218498598754854,7.921409478117981e-23
50,0.005488709486484901,0.1176639900346603,0.2708383090091978,0.30919941682816565,11.499999999999998,0.00935056266549118,0.065,0.18029516988431207,50.05,0.4202359954693364,4.8724951128196944e-21
51,0.005390287499978273,0.10757946037408728,0.24622416519146637,0.3138008266833534,11.499999999999991,0.008856020456827624,0.065,0.1814785128422567,50.05,0.41610292200559107,5.198448330723876e-32
52,0.0051181216996510305,0.12076055468531732,0.27734514337659355,0.3110016811793806,11.499999999999998,0.007492831971542652,0.065,0.18531283293348877,50.05,0.4057306691402109,3.0496064049635635e-21
53,0.005677763271112628,0.10124215717560617,0.23160576695393342,0.3142030790947683,11.499999999999998,0.010294965121007704,0.065,0.17828033431006815,50.05,0.42859566946316663,9.791976842238357e-23
54,0.004962540821677069,0.11037229952684229,0.2517875088169286,0.31650439481848863,11.499999999454065,0.0067264588151052076,0.065,0.1879361842870401,50.05,0.40070137777514264,3.527425121858397e-23
55,0.0058530506849770745,0.11135064919939336,0.25642195424465375,0.3088373760612637,11.499999999978446,0.011157576531965457,0.065,0.1766781831844473,50.05,0.4367181192927221,5.965564564209162e-19
56,0.005468557418981281,0.10283543184446392,0.23495652270775702,0.3152303559234946,11.499999999998355,0.009249218483140798,0.065,0.1805305374289935,50.05,0.41937908085469244,6.851180821172744e-27
57,0.005521058012353192,0.10906893035430432,0.2501489171574869,0.31211797111125505,11.499999999999998,0.009512644776047881,0.065,0.1799283319559268,50.05,0.42163340179739867,9.986779957583618e-22
58,0.005167281857005588,0.11317662178355875,0.2591566986654068,0.3134160286390402,11.499999999999998,0.007737596764006552,0.065,0.18455337853439607,50.05,0.40746993100486967,1.3043033232841447e-20
59,0.005314390439187086,0.1067740938989919,0.24408151162517583,0.3148057686452142,11.499999999944494,0.008474278210721758,0.065,0.1824622983999854,50.05,0.4130456108139387,1.253078029291686e-27
60,0.005026333294625258,0.10690609281046815,0.24360020000510063,0.31745641200616204,11.499999999930603,0.007038724015761641,0.065,0.1868202848091966,50.05,0.4026762726484702,2.3867262163071586e-22
61,0.0050460121877098155,0.13193366900123474,0.3041355541620088,0.3080095422233283,11.499999999844192,0.007135818443906446,0.065,0.18648596802928918,50.05,0.4033058104380786,1.5661527465670792e-22
62,0.00515962376355668,0.13367873446552608,0.3086738000735768,0.3066774190306566,11.499999999504839,0.007699329905092458,0.065,0.1846702068542683,50.05,0.40719646115497554,1.2493425424019987e-22
63,0.005711104689848212,0.08978411585797928,0.20399007573146774,0.31988784924916114,11.499999998747132,0.010460157367906833,0.065,0.17795745286903503,50.05,0.4301181231081965,3.1657304059395288e-21
64,0.004957781892924693,0.14036242284897107,0.3242396671648154,0.30635215295410906,11.499999999974218,0.006703216345606004,0.065,0.18802248144825212,50.05,0.40056142797986305,1.1414377264446777e-23
65,0.005677435481247516,0.08867627768343853,0.20123502488463782,0.3208808792931483,11.499999999952239,0.010293300845524087,0.065,0.1782837551830873,50.05,0.428581359183275,2.2245834412401833e-24
66,0.0052477714195549065,0.12218704361058189,0.2811488504932079,0.30948688625726917,11.499999999999934,0.008140193916277592,0.065,0.18337598739600652,50.05,0.4104534634954465,2.5754532930517205e-22
67,0.00544010837409108,0.11495200004749127,0.2641651377422246,0.31051131297007734,11.499999999999936,0.009106435823260426,0.065,0.18086738359431626,50.05,0.41817420968498814,3.940971326977287e-21
68,0.005571467060642633,0.10397628951070702,0.2379639620372134,0.31384686993054284,11.49999999999038,0.009765176442766966,0.065,0.17937391212203452,50.05,0.4238355221132703,3.5630128612253284e-29
69,0.005109596692007031,0.12037586017795326,0.27639147182146895,0.31120710779612953,11.499999999999998,0.007450467974566805,0.065,0.18544798575186253,50.05,0.4054365368645371,2.8248298466090328e-21
70,0.00539028957635362,0.10514676242256533,0.24034530573991444,0.3148611082271422,11.499999999999998,0.008856020934793462,0.065,0.18147855185704082,50.05,0.4161032025793947,4.0058712328655876e-29
71,0.005302588167775524,0.09211722105868327,0.20862534572884844,0.3225722957062511,11.499999999999991,0.008415109811742275,0.065,0.18261996433204786,50.05,0.41257776046179523,1.5245939571170422e-22
