file,gas_mixture,gas1,concentration_gas_1,gas2,concentration_gas_2,concentration,electric_field,gap_mm,pressure,npe,ne,ne_std,ni,ni_std,n_entries,CF4,ErrCF4,Ar_1s4_1s5,ErrAr_1s4_1s5,Ar_1s2_1s3,ErrAr_1s2_1s3,Ar_dbleStar,ErrAr_dbleStar,CF3,ErrCF3,Ar_3rd,ErrAr_3rd,Ar_696,ErrAr_696,Ar_727,ErrAr_727,Ar_750,ErrAr_750,Ar_763,ErrAr_763,Ar_772,ErrAr_772,Ar_794,ErrAr_794
ar_99.0_cf4_1.0_5.3kVcm_0.050bar_0.4023mm_100npe.root,ArCF4,ar,99.0,cf4,1.0,1.0,5.3,0.4023,0.05,100.0,82.31,38.47226339202114,81.32,38.47992523985262,100,0.0,0.0,2132.0,46.17358552246078,2568.0,50.67543783727971,6547.0,80.9135340965898,57.0,7.54983443527075,0.0,0.0,5000.0,70.71067811865476,5000.0,70.71067811865476,4913.0,70.09279563550022,5630.0,75.03332592921628,5000.0,70.71067811865476,5291.0,72.73926037567333
ar_99.0_cf4_1.0_5.3kVcm_0.050bar_0.4023mm_100npe copy.root,ArCF4,ar,99.0,cf4,1.0,1.0,5.3,0.4023,0.05,,82.31,38.47226339202114,81.32,38.47992523985262,100,0.0,0.0,2132.0,46.17358552246078,2568.0,50.67543783727971,6547.0,80.9135340965898,57.0,7.54983443527075,0.0,0.0,5000.0,70.71067811865476,5000.0,70.71067811865476,4913.0,70.09279563550022,5630.0,75.03332592921628,5000.0,70.71067811865476,5291.0,72.73926037567333
ar_99.0_cf4_1.0_4.1kVcm_0.050bar_0.5700mm_100npe.root,ArCF4,ar,99.0,cf4,1.0,1.0,4.1,0.57,0.05,100.0,81.03,47.0064373412318,80.05,47.00835408239001,100,0.0,0.0,3040.0,55.136195008360886,3271.0,57.19265687131522,8162.0,90.34378783292186,76.0,8.717797887081348,0.0,0.0,6155.0,78.45380806563821,6155.0,78.45380806563821,6041.0,77.72387020729218,6976.0,83.5224520712844,6155.0,78.45380806563821,6548.0,80.91971329657564
ar_99.0_cf4_1.0_4.1kVcm_0.050bar_0.5700mm_100npe copy.root,ArCF4,ar,99.0,cf4,1.0,1.0,4.1,0.57,0.05,,81.03,47.0064373412318,80.05,47.00835408239001,100,0.0,0.0,3040.0,55.136195008360886,3271.0,57.19265687131522,8162.0,90.34378783292186,76.0,8.717797887081348,0.0,0.0,6155.0,78.45380806563821,6155.0,78.45380806563821,6041.0,77.72387020729218,6976.0,83.5224520712844,6155.0,78.45380806563821,6548.0,80.91971329657564
ar_99.0_cf4_1.0_3.9kVcm_0.050bar_0.6076mm_100npe.root,ArCF4,ar,99.0,cf4,1.0,1.0,3.9,0.6076,0.05,100.0,82.84,48.20510053066705,81.85,48.21089507611743,100,0.0,0.0,3163.0,56.24055476255546,3409.0,58.38664230798,8660.0,93.05912099305473,81.0,9.0,0.0,0.0,6512.0,80.69696400732806,6512.0,80.69696400732806,6372.0,79.82480817390042,7373.0,85.86617494683223,6512.0,80.69696400732806,6928.0,83.23460818673925
ar_99.0_cf4_1.0_3.9kVcm_0.050bar_0.6076mm_100npe copy.root,ArCF4,ar,99.0,cf4,1.0,1.0,3.9,0.6076,0.05,,82.84,48.20510053066705,81.85,48.21089507611743,100,0.0,0.0,3163.0,56.24055476255546,3409.0,58.38664230798,8660.0,93.05912099305473,81.0,9.0,0.0,0.0,6512.0,80.69696400732806,6512.0,80.69696400732806,6372.0,79.82480817390042,7373.0,85.86617494683223,6512.0,80.69696400732806,6928.0,83.23460818673925
ar_99.0_cf4_1.0_3.5kVcm_0.050bar_0.7054mm_100npe.root,ArCF4,ar,99.0,cf4,1.0,1.0,3.5,0.7054,0.05,100.0,75.28,47.27548321414931,74.3,47.27065846288954,100,0.0,0.0,3335.0,57.74945887192364,3414.0,58.42944463196617,8510.0,92.2496612459905,87.0,9.327379053088816,0.0,0.0,6390.0,79.93747556684536,6390.0,79.93747556684536,6258.0,79.10752176626443,7189.0,84.78797084492588,6390.0,79.93747556684536,6769.0,82.27393268830657
ar_99.0_cf4_1.0_3.5kVcm_0.050bar_0.7054mm_100npe copy.root,ArCF4,ar,99.0,cf4,1.0,1.0,3.5,0.7054,0.05,,75.28,47.27548321414931,74.3,47.27065846288954,100,0.0,0.0,3335.0,57.74945887192364,3414.0,58.42944463196617,8510.0,92.2496612459905,87.0,9.327379053088816,0.0,0.0,6390.0,79.93747556684536,6390.0,79.93747556684536,6258.0,79.10752176626443,7189.0,84.78797084492588,6390.0,79.93747556684536,6769.0,82.27393268830657
ar_99.0_cf4_1.0_2.3kVcm_0.050bar_1.3952mm_100npe.root,ArCF4,ar,99.0,cf4,1.0,1.0,2.3,1.3952,0.05,100.0,111.59,71.34594833229384,110.76,71.43480746227091,100,0.0,0.0,8987.0,94.79978902930111,8201.0,90.55937278934744,18351.0,135.46586285850765,167.0,12.922847983320086,0.0,0.0,13534.0,116.33572108342304,13534.0,116.33572108342304,13224.0,114.9956520917204,15303.0,123.70529495538985,13534.0,116.33572108342304,14386.0,119.94165248152953
ar_99.0_cf4_1.0_2.3kVcm_0.050bar_1.3952mm_100npe copy.root,ArCF4,ar,99.0,cf4,1.0,1.0,2.3,1.3952,0.05,,111.59,71.34594833229384,110.76,71.43480746227091,100,0.0,0.0,8987.0,94.79978902930111,8201.0,90.55937278934744,18351.0,135.46586285850765,167.0,12.922847983320086,0.0,0.0,13534.0,116.33572108342304,13534.0,116.33572108342304,13224.0,114.9956520917204,15303.0,123.70529495538985,13534.0,116.33572108342304,14386.0,119.94165248152953
ar_99.0_cf4_1.0_2.3kVcm_0.050bar_1.3967mm_100npe.root,ArCF4,ar,99.0,cf4,1.0,1.0,2.3,1.3967,0.05,100.0,105.4,65.99647985715112,104.51,66.06050104245197,100,0.0,0.0,8266.0,90.91754506144565,7629.0,87.34414691323055,17022.0,130.46838697554284,126.0,11.224972160321824,0.0,0.0,12539.0,111.97767634667188,12539.0,111.97767634667188,12259.0,110.72036849649662,14303.0,119.59515040335039,12539.0,111.97767634667188,13413.0,115.81450686334593
ar_99.0_cf4_1.0_2.3kVcm_0.050bar_1.3967mm_100npe copy.root,ArCF4,ar,99.0,cf4,1.0,1.0,2.3,1.3967,0.05,,105.4,65.99647985715112,104.51,66.06050104245197,100,0.0,0.0,8266.0,90.91754506144565,7629.0,87.34414691323055,17022.0,130.46838697554284,126.0,11.224972160321824,0.0,0.0,12539.0,111.97767634667188,12539.0,111.97767634667188,12259.0,110.72036849649662,14303.0,119.59515040335039,12539.0,111.97767634667188,13413.0,115.81450686334593
ar_99.0_cf4_1.0_1.5kVcm_0.050bar_3.1450mm_100npe.root,ArCF4,ar,99.0,cf4,1.0,1.0,1.5,3.145,0.05,100.0,136.95,107.40232819175803,136.51,107.75828684532055,100,0.0,0.0,21970.0,148.22280526288793,18112.0,134.58083073008578,34039.0,184.4966124350255,260.0,16.1245154965971,0.0,0.0,24527.0,156.61098301204805,24527.0,156.61098301204805,23889.0,154.5606677004211,28079.0,167.56789668668637,24527.0,156.61098301204805,26235.0,161.97221984031705
ar_99.0_cf4_1.0_1.5kVcm_0.050bar_3.1450mm_100npe copy.root,ArCF4,ar,99.0,cf4,1.0,1.0,1.5,3.145,0.05,,136.95,107.40232819175803,136.51,107.75828684532055,100,0.0,0.0,21970.0,148.22280526288793,18112.0,134.58083073008578,34039.0,184.4966124350255,260.0,16.1245154965971,0.0,0.0,24527.0,156.61098301204805,24527.0,156.61098301204805,23889.0,154.5606677004211,28079.0,167.56789668668637,24527.0,156.61098301204805,26235.0,161.97221984031705
ar_99.0_cf4_1.0_1.4kVcm_0.050bar_3.9348mm_100npe.root,ArCF4,ar,99.0,cf4,1.0,1.0,1.4,3.9348,0.05,100.0,122.6,89.27315929044389,122.44,89.78057651403181,100,0.0,0.0,23681.0,153.88632167934875,19666.0,140.2355161861645,35085.0,187.30990363565937,299.0,17.291616465790582,0.0,0.0,25180.0,158.6820720812531,25180.0,158.6820720812531,24473.0,156.43848631331102,28940.0,170.11760637864617,25180.0,158.6820720812531,26961.0,164.19805114556019
ar_99.0_cf4_1.0_1.4kVcm_0.050bar_3.9348mm_100npe copy.root,ArCF4,ar,99.0,cf4,1.0,1.0,1.4,3.9348,0.05,,122.6,89.27315929044389,122.44,89.78057651403181,100,0.0,0.0,23681.0,153.88632167934875,19666.0,140.2355161861645,35085.0,187.30990363565937,299.0,17.291616465790582,0.0,0.0,25180.0,158.6820720812531,25180.0,158.6820720812531,24473.0,156.43848631331102,28940.0,170.11760637864617,25180.0,158.6820720812531,26961.0,164.19805114556019
ar_99.0_cf4_1.0_1.0kVcm_0.050bar_8.1726mm_100npe.root,ArCF4,ar,99.0,cf4,1.0,1.0,1.0,8.1726,0.05,100.0,90.2,92.77723945891127,90.97,94.40536440416311,100,0.0,0.0,34385.0,185.43192821086663,26922.0,164.07924914503965,39435.0,198.58247656830147,330.0,18.16590212458495,0.0,0.0,27589.0,166.09936784948943,27589.0,166.09936784948943,26802.0,163.71316379570703,31870.0,178.52170736355845,27589.0,166.09936784948943,29573.0,171.96802028284213
ar_99.0_cf4_1.0_1.0kVcm_0.050bar_8.1726mm_100npe copy.root,ArCF4,ar,99.0,cf4,1.0,1.0,1.0,8.1726,0.05,,90.2,92.77723945891127,90.97,94.40536440416311,100,0.0,0.0,34385.0,185.43192821086663,26922.0,164.07924914503965,39435.0,198.58247656830147,330.0,18.16590212458495,0.0,0.0,27589.0,166.09936784948943,27589.0,166.09936784948943,26802.0,163.71316379570703,31870.0,178.52170736355845,27589.0,166.09936784948943,29573.0,171.96802028284213
