concentration,electric_field,gap_mm,pressure,npe,ne,ni,ne_std,ni_std,n_entries,Ar_1s2_1s3,ErrAr_1s2_1s3
1.0,8.1,0.2562,0.05,,72.19,71.11,32.83496996382443,32.80579371102155,100,1572.0,39.64845520319802
1.0,6.6,0.3175,0.05,100.0,79.46,78.46,39.131330287903715,39.1878202063505,100,2044.0,45.21061822182926
1.0,6.6,0.3175,0.05,,79.46,78.46,39.131330287903715,39.1878202063505,100,2044.0,45.21061822182926
1.0,5.3,0.4023,0.05,100.0,82.31,81.32,38.47226339202114,38.47992523985262,100,2568.0,50.67543783727971
1.0,5.3,0.4023,0.05,,82.31,81.32,38.47226339202114,38.47992523985262,100,2568.0,50.67543783727971
1.0,4.1,0.57,0.05,100.0,81.03,80.05,47.0064373412318,47.00835408239001,100,3271.0,57.19265687131522
1.0,4.1,0.57,0.05,,81.03,80.05,47.0064373412318,47.00835408239001,100,3271.0,57.19265687131522
1.0,3.9,0.6076,0.05,100.0,82.84,81.85,48.20510053066705,48.21089507611743,100,3409.0,58.38664230798
1.0,3.9,0.6076,0.05,,82.84,81.85,48.20510053066705,48.21089507611743,100,3409.0,58.38664230798
1.0,3.5,0.7054,0.05,100.0,75.28,74.3,47.27548321414931,47.27065846288954,100,3414.0,58.42944463196617
1.0,3.5,0.7054,0.05,,75.28,74.3,47.27548321414931,47.27065846288954,100,3414.0,58.42944463196617
1.0,2.3,1.3952,0.05,100.0,111.59,110.76,71.34594833229384,71.43480746227091,100,8201.0,90.55937278934744
1.0,2.3,1.3952,0.05,,111.59,110.76,71.34594833229384,71.43480746227091,100,8201.0,90.55937278934744
1.0,2.3,1.3967,0.05,100.0,105.4,104.51,65.99647985715112,66.06050104245197,100,7629.0,87.34414691323055
1.0,2.3,1.3967,0.05,,105.4,104.51,65.99647985715112,66.06050104245197,100,7629.0,87.34414691323055
1.0,1.5,3.145,0.05,100.0,136.95,136.51,107.40232819175803,107.75828684532055,100,18112.0,134.58083073008578
1.0,1.5,3.145,0.05,,136.95,136.51,107.40232819175803,107.75828684532055,100,18112.0,134.58083073008578
1.0,1.4,3.9348,0.05,100.0,122.6,122.44,89.27315929044389,89.78057651403181,100,19666.0,140.2355161861645
1.0,1.4,3.9348,0.05,,122.6,122.44,89.27315929044389,89.78057651403181,100,19666.0,140.2355161861645
1.0,1.0,8.1726,0.05,100.0,90.2,90.97,92.77723945891127,94.40536440416311,100,26922.0,164.07924914503965
1.0,1.0,8.1726,0.05,,90.2,90.97,92.77723945891127,94.40536440416311,100,26922.0,164.07924914503965
1.0,0.8,13.8938,0.05,100.0,77.86,80.08,76.16449768147038,79.02188419557068,100,37753.0,194.30131239906746
1.0,0.8,13.8938,0.05,,77.86,80.08,76.16449768147038,79.02188419557068,100,37753.0,194.30131239906746
1.0,730.5,0.0036,1.0,100.0,21.13,19.55,16.922673213380584,16.42329892179849,100,200.0,14.142135623730951
1.0,533.7,0.0046,1.0,100.0,40.45,38.76,22.642756997425124,22.08849053560279,100,487.0,22.06807649071391
1.0,389.9,0.006,1.0,100.0,63.32,61.7,31.574788561877543,31.297368140552212,100,806.0,28.39013913315678
1.0,316.2,0.0074,1.0,100.0,84.37,82.66,40.77993540104167,40.55329950830266,100,1204.0,34.698703145794944
1.0,284.8,0.008,1.0,100.0,87.39,85.93,42.432333535794726,42.29890153073802,100,1384.0,37.20215047547655
1.0,231.0,0.0096,1.0,100.0,97.97,96.72,37.99507012146909,37.911401232799925,100,1673.0,40.90232267243512
1.0,208.1,0.0107,1.0,100.0,101.78,100.55,46.48222860145128,46.418251156242846,100,2001.0,44.73253849269008
1.0,168.8,0.0129,1.0,100.0,106.21,105.07,49.67638607359974,49.57134538045425,100,2316.0,48.12483766206386
1.0,152.0,0.0146,1.0,100.0,109.42,108.29,61.05274752046775,61.016357303479346,100,2550.0,50.49752469181039
1.0,123.3,0.0179,1.0,100.0,101.31,100.27,46.58167476854417,46.54396314293084,100,2775.0,52.67826876426369
1.0,111.0,0.0204,1.0,100.0,103.88,102.89,44.66469466474555,44.665059898734896,100,3258.0,57.07889277132134
1.0,81.1,0.0298,1.0,100.0,103.19,102.21,59.604029251639545,59.62310835997273,100,4022.0,63.419239982831705
1.0,65.8,0.0393,1.0,100.0,86.17,85.24,63.86302497999887,63.868254551020414,100,4241.0,65.12296062065974
1.0,59.3,0.0456,1.0,100.0,94.61,93.72,61.649529969453496,61.77608311024943,100,5138.0,71.6798437498297
1.0,48.1,0.0638,1.0,100.0,108.64,107.78,70.48540503701687,70.56089568592508,100,7508.0,86.64871608973787
1.0,43.3,0.075,1.0,100.0,93.34,92.55,61.07955071176862,61.25346825884534,100,7261.0,85.21150157109074
1.0,35.1,0.1129,1.0,100.0,114.39,113.72,77.95011289927746,78.32876582428422,100,12257.0,110.71133636624572
1.0,31.6,0.1361,1.0,100.0,111.17,110.55,79.87946158956245,80.17762792825702,100,13918.0,117.97457353175726
1.0,25.7,0.2222,1.0,100.0,115.82,115.86,90.57040121230322,91.39524776010684,100,21058.0,145.11374848717816
1.0,18.7,0.501,1.0,100.0,120.76,122.62,119.25603726538303,121.6189429025235,100,41309.0,203.24615617521528
1.0,13.7,1.3416,1.0,100.0,87.07,93.72,88.55829045369387,96.23236608765411,100,68421.0,261.57408128482456
1.0,10.2,4.2352,1.0,100.0,27.05,38.84,40.761284612145424,58.13493881575099,100,68567.0,261.85301220341154
1.0,1182.3,0.0018,10.0,100.0,82.01,81.0,41.57128355200999,41.53129524645824,100,2278.0,47.7283982551269
1.0,1021.2,0.0022,10.0,100.0,87.65,86.66,46.09900960832767,46.11409215141826,100,2733.0,52.278102490430925
1.0,882.0,0.0026,10.0,100.0,95.21,94.21,54.798859938004654,54.798859938004654,100,3570.0,59.74947698515862
1.0,761.8,0.0032,10.0,100.0,99.04,98.12,61.75839533164211,61.77546176895545,100,4217.0,64.93843238021688
1.0,657.9,0.004,10.0,100.0,103.92,102.99,61.91256134683214,61.93112743568088,100,5231.0,72.32565243397394
1.0,562.3,0.0046,10.0,100.0,70.07,69.17,46.6695356260972,46.68031293984238,100,4081.0,63.88270501473775
1.0,592.6,0.0047,10.0,100.0,109.64,108.67,65.06942989661663,65.1087753399081,100,5999.0,77.45321168292507
1.0,568.3,0.005,10.0,100.0,104.33,103.38,66.40875185720873,66.41646686407724,100,6010.0,77.52418977325722
1.0,533.7,0.0055,10.0,100.0,97.41,96.51,71.1280102237075,71.2866591851363,100,6021.0,77.59510293826537
1.0,501.2,0.0056,10.0,100.0,72.17,71.26,55.86727688247053,55.893227937675334,100,4879.0,69.84983894040128
1.0,490.8,0.0062,10.0,100.0,109.39,108.57,74.49369778780625,74.60661207732574,100,7611.0,87.24104538575865
1.0,480.6,0.0065,10.0,100.0,112.19,111.33,78.11655303830207,78.1954369745215,100,7719.0,87.8578397184907
1.0,446.7,0.007,10.0,100.0,77.95,77.14,59.60380555269636,59.70889313320018,100,6035.0,77.68526243760782
1.0,432.9,0.0077,10.0,100.0,94.12,93.31,61.565482917530076,61.733983732420405,100,7374.0,85.871997764114
1.0,423.9,0.008,10.0,100.0,95.94,95.16,67.5881496994701,67.71474929974468,100,7863.0,88.67355862939075
1.0,398.1,0.0086,10.0,100.0,94.85,94.0,65.61155586195363,65.69012040780501,100,8471.0,92.03803561571705
1.0,389.9,0.009,10.0,100.0,88.79,87.94,66.77147745871886,66.88386135003653,100,8226.0,90.69729874698585
1.0,389.9,0.0093,10.0,100.0,98.72,97.97,72.8079083283644,73.0636162546176,100,9070.0,95.23654760647301
1.0,366.1,0.0103,10.0,100.0,107.79,107.09,82.67317850696466,82.88291546976178,100,10673.0,103.31021246711285
1.0,354.8,0.0108,10.0,100.0,81.69,80.89,55.24009943744296,55.38841635817607,100,8614.0,92.81163720137685
1.0,351.1,0.0112,10.0,100.0,109.45,108.68,80.26375397413331,80.36229579758523,100,11976.0,109.43491216243562
1.0,340.3,0.0118,10.0,100.0,102.93,102.22,71.06210898455895,71.29389734037407,100,11516.0,107.3126274023705
1.0,316.2,0.0137,10.0,100.0,104.04,103.48,66.87798629224007,67.19404735540195,100,12963.0,113.85517116055819
1.0,297.0,0.0156,10.0,100.0,110.72,110.28,82.04606737508611,82.47731001109742,100,15342.0,123.8628273534881
1.0,281.8,0.0175,10.0,100.0,109.63,109.29,79.85285141300764,80.36071393059137,100,16615.0,128.89918541247653
1.0,259.2,0.0211,10.0,100.0,100.27,99.95,84.48583109945511,84.99035893035817,100,17423.0,131.99621206686197
1.0,251.2,0.0227,10.0,100.0,109.4,109.36,97.00536275918154,97.84140124701709,100,20377.0,142.74802975873257
1.0,226.2,0.0291,10.0,100.0,125.39,125.79,119.01794237030234,120.3679791474477,100,28291.0,168.1992865621017
1.0,223.9,0.0299,10.0,100.0,111.53,111.75,106.6225718517558,107.67143952269278,100,25926.0,161.01552720157147
1.0,199.5,0.0404,10.0,100.0,116.4,117.71,95.45309282203971,97.383786736766,100,33711.0,183.60555547150528
1.0,197.4,0.0416,10.0,100.0,98.8,99.79,88.6449050533599,90.2347438069117,100,30088.0,173.4589288563722
1.0,172.3,0.0618,10.0,100.0,92.59,94.79,84.38333587704017,86.9906874152038,100,38784.0,196.93653800145873
1.0,150.4,0.0969,10.0,100.0,105.18,109.71,106.64463598249273,111.92297992076263,100,62109.0,249.21677311128158
1.0,131.3,0.1627,10.0,100.0,112.21,123.55,135.08203979340658,148.69087824317694,100,100191.0,316.5296194671203
1.0,125.9,0.1971,10.0,100.0,111.44,125.17,117.5838681988565,131.69317377982057,100,115609.0,340.0132350365203
1.0,118.2,0.2598,10.0,100.0,92.63,109.29,103.54598402681201,121.80073932866787,100,122477.0,349.967141314724
1.0,114.6,0.2986,10.0,100.0,97.01,117.33,97.2353694429505,117.19387847287568,100,143384.0,378.6607980765899
1.0,111.0,0.3486,10.0,100.0,105.83,133.66,150.06524204054338,188.32479036671373,100,180845.0,425.2587447660542
1.0,104.3,0.4769,10.0,100.0,75.38,107.52,101.26750054517326,142.98996786170318,100,179994.0,424.2569975851901
1.0,97.9,0.6667,10.0,100.0,52.1,87.72,78.47028646937552,128.94890382620474,100,179133.0,423.2410660604663
