concentration,electric_field,gap_mm,pressure,ne,ni,CF4,ErrCF4,Ar_dbleStar,ErrAr_dbleStar,CF3,ErrCF3,Ar_3rd,ErrAr_3rd,Ar_696,ErrAr_696,Ar_727,ErrAr_727,Ar_750,ErrAr_750,Ar_763,ErrAr_763,Ar_772,ErrAr_772,Ar_794,ErrAr_794
0.2,181.7,0.05,10.0,103.7,103.25,0.09643201542912247,0.030494480811652645,500.3471552555448,2.196576531685619,0.009643201542912247,0.009643201542912247,0.0,0.0,346.0559305689489,1.8267695759444924,346.0559305689489,1.8267695759444924,400.19286403085823,1.964469506987788,400.19286403085823,1.964469506987788,346.0559305689489,1.8267695759444924,371.22468659594983,1.8920344792178547
0.5,4.5,0.57,0.05,156.94,155.95,0.3313368166178157,0.04594814929863628,93.1566203644705,0.7704421562478319,0.02548744743213967,0.012743723716069836,0.006371861858034918,0.006371861858034918,70.06499299095196,0.6681649919163161,70.06499299095196,0.6681649919163161,79.44437364597935,0.7114833619068617,79.44437364597935,0.7114833619068617,70.06499299095196,0.6681649919163161,74.7610551803237,0.6901935351551391
0.5,17.4,0.57,1.0,97.5,97.91,0.22564102564102564,0.04810682830588133,518.225641025641,2.3054576074502355,0.020512820512820513,0.014504754485877899,0.0,0.0,358.3076923076923,1.9170160902651041,358.3076923076923,1.9170160902651041,415.2307692307692,2.0636804792204586,415.2307692307692,2.0636804792204586,358.3076923076923,1.9170160902651041,385.2102564102564,1.9876806646744287
0.5,44.3,0.05,0.2,98.01,96.79,0.49994898479746963,0.07142128354249566,47.862463013978164,0.6988151750298037,0.040812162024283234,0.020406081012141617,0.22446689113355778,0.047856501987791344,37.3635343332313,0.6174314976189069,37.3635343332313,0.6174314976189069,41.89368431792674,0.6537912190021751,41.89368431792674,0.6537912190021751,37.3635343332313,0.6174314976189069,39.61840628507295,0.635789433784936
0.5,55.9,0.05,1.0,94.27,93.33,0.32884268590219584,0.05906188992075975,138.1775750503872,1.2106874201823494,0.03182348573247056,0.018373298054194093,0.0,0.0,102.68378063010502,1.0436723348890502,102.68378063010502,1.0436723348890502,116.30423252360242,1.1107364050245825,116.30423252360242,1.1107364050245825,102.68378063010502,1.0436723348890502,109.4091439482338,1.0773084255740377
0.5,96.8,0.57,10.0,84.3,104.67,0.40332147093712933,0.06916906162331318,2010.67615658363,4.883793321527616,0.02372479240806643,0.016775961593986893,0.0,0.0,1250.771055753262,3.851901066211607,1250.771055753262,3.851901066211607,1493.7129300118625,4.2093959888430605,1493.7129300118625,4.2093959888430605,1250.771055753262,3.851901066211607,1359.3357058125741,4.015591950962883
0.5,184.5,0.05,10.0,124.21,124.77,0.2415264471459625,0.04409649444530764,483.02069076563885,1.9719894467146062,0.016101763143064166,0.01138566590752029,0.0,0.0,333.8700587714355,1.6394963566441019,333.8700587714355,1.6394963566441019,387.7143547218421,1.7667604120107885,387.7143547218421,1.7667604120107885,333.8700587714355,1.6394963566441019,358.75533370904117,1.6994989570008456
1.0,0.8,13.8938,0.05,77.86,80.08,0.5137426149499101,0.08122983971662932,598.2918058052916,2.772038946414328,0.05137426149499101,0.025687130747495505,0.0,0.0,411.39224248651425,2.298639415094989,411.39224248651425,2.298639415094989,476.3293090161829,2.4734119389582965,476.3293090161829,2.4734119389582965,411.39224248651425,2.298639415094989,440.77832006164914,2.3793203166119734
1.0,0.8,13.8938,0.05,77.86,80.08,0.5137426149499101,0.08122983971662932,598.2918058052916,2.772038946414328,0.05137426149499101,0.025687130747495505,0.0,0.0,411.39224248651425,2.298639415094989,411.39224248651425,2.298639415094989,476.3293090161829,2.4734119389582965,476.3293090161829,2.4734119389582965,411.39224248651425,2.298639415094989,440.77832006164914,2.3793203166119734
1.0,1.0,8.1726,0.05,90.2,90.97,0.4878048780487805,0.0735393523360399,437.1951219512195,2.20157956284148,0.03325942350332594,0.019202337112736997,0.0,0.0,305.8647450110865,1.8414564063136298,305.8647450110865,1.8414564063136298,353.3259423503326,1.9791763565804705,353.3259423503326,1.9791763565804705,305.8647450110865,1.8414564063136298,327.86031042128604,1.9065190718718639
1.0,1.0,8.1726,0.05,90.2,90.97,0.4878048780487805,0.0735393523360399,437.1951219512195,2.20157956284148,0.03325942350332594,0.019202337112736997,0.0,0.0,305.8647450110865,1.8414564063136298,305.8647450110865,1.8414564063136298,353.3259423503326,1.9791763565804705,353.3259423503326,1.9791763565804705,305.8647450110865,1.8414564063136298,327.86031042128604,1.9065190718718639
1.0,1.4,3.9348,0.05,122.6,122.44,0.6117455138662317,0.07063828742124297,286.1745513866232,1.5278132433577436,0.08972267536704731,0.027052404489032626,0.0,0.0,205.38336052202285,1.2943072763560612,205.38336052202285,1.2943072763560612,236.05220228384994,1.3875824337573097,236.05220228384994,1.3875824337573097,205.38336052202285,1.2943072763560612,219.91027732463297,1.3392989489849934
1.0,1.4,3.9348,0.05,122.6,122.44,0.6117455138662317,0.07063828742124297,286.1745513866232,1.5278132433577436,0.08972267536704731,0.027052404489032626,0.0,0.0,205.38336052202285,1.2943072763560612,205.38336052202285,1.2943072763560612,236.05220228384994,1.3875824337573097,236.05220228384994,1.3875824337573097,205.38336052202285,1.2943072763560612,219.91027732463297,1.3392989489849934
1.0,1.5,3.145,0.05,136.95,136.51,0.4965315808689303,0.06021329865816226,248.55056589996352,1.347182274078317,0.021905805038335162,0.012647322435698265,0.0,0.0,179.09456005841548,1.1435632202413148,179.09456005841548,1.1435632202413148,205.03103322380431,1.2235698918341467,205.03103322380431,1.2235698918341467,179.09456005841548,1.1435632202413148,191.56626506024097,1.182710623149449
1.0,1.5,3.145,0.05,136.95,136.51,0.4965315808689303,0.06021329865816226,248.55056589996352,1.347182274078317,0.021905805038335162,0.012647322435698265,0.0,0.0,179.09456005841548,1.1435632202413148,179.09456005841548,1.1435632202413148,205.03103322380431,1.2235698918341467,205.03103322380431,1.2235698918341467,179.09456005841548,1.1435632202413148,191.56626506024097,1.182710623149449
1.0,2.3,1.3952,0.05,111.59,110.76,0.4570301998386952,0.06399702866334663,164.45021955372346,1.2139605955597064,0.026884129402276188,0.015521559347332889,0.0,0.0,121.28326911013531,1.0425281932379518,121.28326911013531,1.0425281932379518,137.13594408101085,1.1085697191091481,137.13594408101085,1.1085697191091481,121.28326911013531,1.0425281932379518,128.91836186038174,1.0748423020120936
