concentration,electric_field,gap_mm,pressure,ne,ni,CF3,ErrCF3
5.0,19.4,0.57,1.0,110.63,123.83,19.09970170839736,0.4155055567047349
5.0,202.0,0.05,10.0,105.93,116.66,17.860851505711317,0.4106214135925903
5.0,4.2,0.57,0.05,92.58,91.74,4.666234607906675,0.22450431724807224
5.0,44.5,0.05,0.2,99.26,98.11,2.569010679024783,0.16087768912624734
5.0,56.8,0.05,1.0,88.4,87.88,6.108597285067873,0.2628721728195079
2.0,114.2,0.57,10.0,228.55,396.81,27.862612119886236,0.34915663694176335
2.0,18.1,0.57,1.0,101.24,106.39,8.079810351639669,0.28250394401570705
2.0,187.0,0.05,10.0,85.76,89.52,7.7075559701492535,0.2997891821870905
2.0,4.5,0.57,0.05,143.69,142.86,1.6841812234671862,0.10826326944188214
2.0,45.3,0.05,0.2,110.82,109.47,1.073813391084642,0.0984363121696058
2.0,56.5,0.05,1.0,104.65,103.91,2.2073578595317724,0.14523348450616974
1.0,0.8,13.8938,0.05,77.86,80.08,5.31723606473157,0.2613278955737966
1.0,0.8,13.8938,0.05,77.86,80.08,5.31723606473157,0.2613278955737966
1.0,1.0,8.1726,0.05,90.2,90.97,3.6917960088691797,0.20230917506535098
1.0,1.0,8.1726,0.05,90.2,90.97,3.6917960088691797,0.20230917506535098
1.0,1.4,3.9348,0.05,122.6,122.44,2.471451876019576,0.14198120053449603
1.0,1.4,3.9348,0.05,122.6,122.44,2.471451876019576,0.14198120053449603
1.0,1.5,3.145,0.05,136.95,136.51,1.9277108433734942,0.11864240094393518
1.0,1.5,3.145,0.05,136.95,136.51,1.9277108433734942,0.11864240094393518
1.0,10.2,4.2352,1.0,27.05,38.84,14.454713493530498,0.7310062821916891
1.0,100.0,0.1112,0.05,108.07,101.06,0.27759785324326824,0.05068220204544889
1.0,100.0,0.1112,0.05,108.07,101.06,0.27759785324326824,0.05068220204544889
1.0,1021.2,0.0022,10.0,87.65,86.66,0.8784940102681118,0.10011368382649312
1.0,104.3,0.4769,10.0,75.38,107.52,13.995754842133193,0.43089365266414736
1.0,104.4,0.57,10.0,175.34,248.13,14.320748260522413,0.2857869240645044
1.0,11.1,0.1957,0.05,90.07,88.81,0.6772510269790164,0.08671310842574281
1.0,11.1,0.1957,0.05,90.07,88.81,0.6772510269790164,0.08671310842574281
1.0,111.0,0.0204,1.0,103.88,102.89,0.8182518290335002,0.08875187194159499
1.0,111.0,0.3486,10.0,105.83,133.66,10.819238401209487,0.3197377740846382
1.0,114.6,0.2986,10.0,97.01,117.33,9.442325533450159,0.31198321720279465
1.0,118.2,0.2598,10.0,92.63,109.29,9.176292777717803,0.3147442456464051
1.0,1182.3,0.0018,10.0,82.01,81.0,0.7072308255090842,0.09286395690603473
1.0,12.3,0.1807,0.05,91.3,90.11,0.4381161007667032,0.06927223790073121
1.0,12.3,0.1807,0.05,91.3,90.11,0.4381161007667032,0.06927223790073121
1.0,123.3,0.0179,1.0,101.31,100.27,0.6119830224064752,0.07772192156758277
1.0,125.9,0.1971,10.0,111.44,125.17,7.28643216080402,0.255703640502064
1.0,13.7,1.3416,1.0,87.07,93.72,5.9836912828758475,0.2621502747332796
1.0,131.3,0.1627,10.0,112.21,123.55,6.933428393191338,0.2485754510468114
1.0,150.4,0.0969,10.0,105.18,109.71,5.191100969766115,0.22215861276949844
1.0,152.0,0.0146,1.0,109.42,108.29,0.6580149881191738,0.07754781003690887
1.0,168.8,0.0129,1.0,106.21,105.07,0.6119951040391677,0.07590865029939318
1.0,172.3,0.0618,10.0,92.59,94.79,3.9961118911329514,0.20774796480906516
1.0,18.1,0.57,1.0,148.87,152.0,4.090817491771344,0.16576829017603367
1.0,18.7,0.1399,0.05,109.11,106.98,0.4215928879112822,0.06216048009463173
1.0,18.7,0.1399,0.05,109.11,106.98,0.4215928879112822,0.06216048009463173
1.0,18.7,0.501,1.0,120.76,122.62,3.759523020867837,0.17644315793857665
1.0,182.3,0.05,10.0,71.34,72.24,4.121110176619007,0.24034802634541977
1.0,197.4,0.0416,10.0,98.8,99.79,3.6437246963562755,0.192041153451521
1.0,199.5,0.0404,10.0,116.4,117.71,3.4192439862542954,0.17139121428917528
1.0,2.3,1.3952,0.05,111.59,110.76,1.4965498700600413,0.11580650580984035
1.0,2.3,1.3952,0.05,111.59,110.76,1.4965498700600413,0.11580650580984035
1.0,2.3,1.3967,0.05,105.4,104.51,1.1954459203036052,0.10649878709982755
1.0,2.3,1.3967,0.05,105.4,104.51,1.1954459203036052,0.10649878709982755
1.0,208.1,0.0107,1.0,101.78,100.55,0.4519551974847711,0.0666371584115275
1.0,223.9,0.0299,10.0,111.53,111.75,3.0485071281269613,0.1653285117420046
1.0,226.2,0.0291,10.0,125.39,125.79,3.1023207592311985,0.15729390639856464
1.0,231.0,0.0096,1.0,97.97,96.72,0.4593242829437583,0.06847202135857272
1.0,25.7,0.2222,1.0,115.82,115.86,2.659298912104991,0.15152761850098642
