wavelength_nm,0.1_percent_N2_ph_MeV_nm,1_percent_N2_ph_MeV_nm,10_percent_N2_ph_MeV_nm,100_percent_N2_ph_MeV_nm
717.2086043021511,0.0063180581860678535,0.004443186172782538,0.0010135316566273088,0.0
717.4587293646823,0.008600357499966125,0.006048217411427104,0.0013796540533665418,0.0
717.7088544272136,0.011614051671184117,0.00816760344403001,0.00186310551219531,0.0
717.9589794897449,0.015559132156796333,0.010941988634891611,0.002495968306979201,0.0
718.2091045522761,0.02067861043623932,0.014542271259044755,0.0033172259070419724,0.0
718.4592296148074,0.027264133512523943,0.01917355261394187,0.004373663805888645,0.0
718.7093546773388,0.03566123786631415,0.025078831872441837,0.005720712351177483,0.0
718.95947973987,0.04627383512899835,0.03254216064074596,0.007423166328417626,0.0
719.2096048024013,0.059567440779393396,0.04189091354536337,0.009555702902752674,0.0
719.4597298649326,0.07607058477087117,0.05349678025926312,0.012203107909255871,0.0
719.7098549274638,0.09637378903407344,0.06777504642875655,0.015460111825734474,0.0
719.959979989995,0.12112547119612699,0.0851817129564151,0.01943073265465204,0.0
720.2101050525263,0.1510241469156875,0.10620801227868343,0.02422702503558521,0.0
720.4602301150576,0.18680636473910725,0.13137192353103389,0.02996714477630934,0.0
720.7103551775888,0.2292299254963473,0.16120637155692377,0.036772656938136805,0.0
720.9604802401201,0.2790521182754699,0.19624392131636784,0.044765044489654744,0.0
721.2106053026514,0.3370029481228511,0.2369979502163068,0.054061413542010626,0.0
721.4607303651826,0.40375363273340265,0.2839404933493982,0.0647694396439896,0.0
721.7108554277139,0.4798809963086982,0.3374772034085029,0.07698165590806444,0.0
721.9609804902452,0.5658287717012732,0.39792013634767215,0.09076924516921245,0.0
722.2111055527764,0.6618672137587338,0.46545934939125794,0.10617556122940942,0.0
722.4612306153076,0.7680527987122943,0.5401345595539281,0.12320966390521769,0.0
722.7113556778389,0.8841901038724279,0.6218083354657153,0.1418402038363636,0.0
722.9614807403702,1.009798194544345,0.710142458907794,0.16199003033450288,0.0
723.2116058029014,1.1440839580310436,0.8045791719005173,0.18353191367141833,0.0
723.4617308654327,1.2859247895688373,0.904329000555367,0.2062857675875924,0.0
723.711855927964,1.4338628318022415,1.0083667039749498,0.23001772519901362,0.0
723.9619809904952,1.5861125888871785,1.115436628885242,0.2544413604380709,0.0
724.2121060530266,1.7405831830755216,1.2240683616200747,0.27922125841525974,0.0
724.4622311155579,1.8949158153264745,1.3326030723657778,0.3039790247838325,0.0
724.7123561780891,2.046536166945277,1.4392303667110862,0.32830169191747754,0.0
724.9624812406203,2.19272058510085,1.5420348307355514,0.3517523362733415,0.0
725.2126063031517,2.330673990857224,1.6390508199775817,0.3738825762598636,0.0
725.4627313656829,2.4576166001831576,1.728323446145791,0.39424648386689576,0.0
725.7128564282141,2.5708758236192053,1.8079732057308289,0.41241532704684053,0.0
725.9629814907454,2.6679791714714347,1.8762613157557009,0.42799247340058544,0.0
726.2131065532767,2.746743690467969,1.931652610270866,0.440627737446872,0.0
726.4632316158079,2.8053574305763296,1.9728728320450952,0.45003044938423775,0.0
726.7133566783392,2.8424487027980936,1.9989573382384027,0.45598056530325176,0.0
726.9634817408705,2.8571394333118243,2.0092886218023236,0.4583372261632279,0.0
727.2136068034017,2.8490797165070587,2.00362061096535,0.4570443007284819,0.0
727.4637318659329,2.8184616683752926,1.982088411655907,0.45213260790467236,0.0
727.7138569284643,2.766011814414495,1.945202954282048,0.44371869561998495,0.0
727.9639819909955,2.6929624331841384,1.8938308410332156,0.4320002438091997,0.0
728.2141070535267,2.6010034337497006,1.8291605036035683,0.4172483446789338,0.0
728.464232116058,2.49221739089991,1.7526565165876495,0.3997970811727472,0.0
728.7143571785894,2.369001224212943,1.6660045181379972,0.38003096286625904,0.0
728.9644822411205,2.2339786294399246,1.5710496271726977,0.3583708783654684,0.0
729.2146073036519,2.0899077170113873,1.4697314899832523,0.3352592788402879,0.0
729.4647323661832,1.9395883690867255,1.3640191289073162,0.3111453164072928,0.0
729.7148574287144,1.7857736026778246,1.2558486082805949,0.28647062515984445,0.0
729.9649824912457,1.6310887522892887,1.1470661994784148,0.26165635659130687,0.0
730.215107553777,1.4779616089332426,1.0393792510482502,0.23709197262064857,0.0
730.4652326163082,1.328565833367188,0.9343163939645628,0.21312616804575943,0.0
730.7153576788394,1.184779066556081,0.8331980827343689,0.19006015070014495,0.0
730.9654827413707,1.048156256733036,0.7371178376048843,0.16814336263070626,0.0
731.215607803902,0.9199178719823212,0.6469339550437507,0.14757158918692712,0.0
731.4657328664332,0.8009519221815405,0.5632709296790814,0.12848728338696994,0.0
731.7158579289645,0.6918281134942361,0.48652940848198806,0.11098183657277641,0.0
731.9659829914958,0.5928220265297138,0.4169031941181118,0.09509945705544132,0.0
732.216108054027,0.5039469546577345,0.3544016353278483,0.08084227760782897,0.0
732.4662331165583,0.424990956486272,0.2988756841936629,0.06817629943472342,0.0
732.7163581790896,0.35555674890115435,0.2500459510657053,0.05703779187067284,0.0
732.9664832416208,0.2951022680515059,0.20753122926622813,0.047339799308362164,0.0
733.216608304152,0.24298002332846438,0.17087617103520428,0.0389784546278719,0.0
733.4667333666835,0.19847372953746834,0.13957704947198396,0.03183885619782508,0.0
733.7168584292147,0.16083109172790658,0.11310481499955065,0.025800328002700962,0.0
733.9669834917459,0.12929200546515981,0.09092492799732495,0.020740944801153408,0.0
734.2171085542772,0.1031117978157725,0.07251370421369085,0.01654126245255073,0.0
734.4672336168085,0.08157945230118602,0.05737113325993556,0.013087244679577947,0.0
734.7173586793397,0.06403102249137176,0.04503031442443249,0.010272419642044362,0.0
734.967483741871,0.049858638000362186,0.03506379419193181,0.007999331876367973,0.0
735.2176088044023,0.038515643221583136,0.0270871860879879,0.00618037740031279,0.0
735.4677338669335,0.029518487496573338,0.020760508829967505,0.004738122812690339,0.0
735.7178589294647,0.02244601308799099,0.01578769857833188,0.0036052142798781413,0.0
735.9679839919961,0.016936773859624547,0.011914742073654084,0.002723980968489374,0.0
736.2181090545273,0.012684973325674906,0.00892684693935442,0.0020458314708844422,0.0
736.4682341170585,0.009435545959131071,0.0066450206597774945,0.0015305327753551625,0.0
736.7183591795898,0.006978829708368418,0.004922377324740779,0.0011454509144589915,0.0
736.9684842421211,0.005145198542825674,0.0036404368069338196,0.0008648219160290422,0.0
737.2186093046523,0.0037999478511422913,0.0027056290737091974,0.0006691121360927491,0.0
737.4687343671836,0.0028386572129597987,0.002046170049702087,0.0005445192210946108,0.0
737.7188594297149,0.002183197328359487,0.001609436848192325,0.00048265926869278235,0.0
737.9689844922461,0.00177850204832135,0.0013599401713311975,0.00048048236989063116,0.0
738.2191095547774,0.0015901925126903006,0.0012779701620253224,0.0005404574691857321,0.0
738.4692346173088,0.0016031172828815075,0.0013589780687864054,0.0006710679478079103,0.0
738.71935967984,0.0018208580997464596,0.0016137481749895855,0.0008876608303761712,0.0
738.9694847423712,0.002266242878734664,0.002069410411738368,0.001213694100490832,0.0
739.2196098049025,0.00298290265558593,0.0027713413498882504,0.0016824271144383676,0.0
739.4697348674338,0.004037903954321221,0.0037859969541276053,0.002339097141494653,0.0
739.719859929965,0.005525478805240339,0.005204711464901769,0.0032436190792749465,0.0
739.9699849924963,0.00757185769149261,0.0071484798504135956,0.004473833730113795,0.0
