mixture,concentration_percent,pressure_bar,wavelength_nm,experimental_ph_MeV_nm
ArN2,0.1,1,358.32,112.68520572510214
ArN2,0.1,1,358.69,106.72846612596413
ArN2,0.1,1,359.05,99.85326763427233
ArN2,0.1,1,359.41,90.92796521375558
ArN2,0.1,1,359.77,81.71491644733257
ArN2,0.1,1,360.13,65.51966671326987
ArN2,0.1,1,360.49,46.10607891855749
ArN2,0.1,1,360.86,29.39728303357497
ArN2,0.1,1,361.22,18.413716856212226
ArN2,0.1,1,361.58,11.347545989068701
ArN2,0.1,1,361.94,7.8140911983456025
ArN2,0.1,1,362.3,3.882335561000846
ArN2,0.1,1,362.66,2.3772562035467764
ArN2,0.1,1,363.03,2.3772562035467764
ArN2,0.1,1,363.39,2.3772562035467764
ArN2,0.1,1,363.75,2.3772562035467764
ArN2,0.1,1,364.11,2.3772562035467764
ArN2,0.1,1,364.47,3.2449828393908975
ArN2,0.1,1,364.83,3.626613850034029
ArN2,0.1,1,365.19,3.8219084885930004
ArN2,0.1,1,365.56,4.061671734525017
ArN2,0.1,1,365.92,4.300280289674181
ArN2,0.1,1,366.28,4.715112014060015
ArN2,0.1,1,366.64,5.025253393813603
ArN2,0.1,1,367.0,5.509329275562765
ArN2,0.1,1,367.36,5.977919842664492
ArN2,0.1,1,367.72,6.4923853204226125
ArN2,0.1,1,368.08,6.709802125260072
ArN2,0.1,1,368.44,7.047721622008714
ArN2,0.1,1,368.8,7.265232407507204
ArN2,0.1,1,369.17,7.399626342937704
ArN2,0.1,1,369.53,9.827809139464252
ArN2,0.1,1,369.89,11.890686320856002
ArN2,0.1,1,370.25,12.535960319566147
ArN2,0.1,1,370.61,12.663347477518405
ArN2,0.1,1,370.97,13.052722719163764
ArN2,0.1,1,371.33,13.538636236302388
ArN2,0.1,1,371.69,15.288196275552664
ArN2,0.1,1,372.05,16.62087194393611
ArN2,0.1,1,372.41,17.072662468777676
ArN2,0.1,1,372.77,18.75648057567342
ArN2,0.1,1,373.13,19.656249725896377
ArN2,0.1,1,373.49,20.69977702059201
ArN2,0.1,1,373.85,27.473191442641504
ArN2,0.1,1,374.21,31.24585714478177
ArN2,0.1,1,374.57,35.127544945874554
ArN2,0.1,1,374.93,43.524224373177965
ArN2,0.1,1,375.29,50.837412959244176
ArN2,0.1,1,375.65,52.88229463659956
ArN2,0.1,1,376.01,53.86923341276375
ArN2,0.1,1,376.37,54.29784593257721
ArN2,0.1,1,376.73,54.29784593257721
ArN2,0.1,1,377.09,54.29784593257721
ArN2,0.1,1,377.45,54.29784593257721
ArN2,0.1,1,377.81,53.949399618253445
ArN2,0.1,1,378.17,53.088383102800826
ArN2,0.1,1,378.53,51.79922076959204
ArN2,0.1,1,378.89,50.846354314639306
ArN2,0.1,1,379.25,49.06254699450122
ArN2,0.1,1,379.61,48.681156197031854
ArN2,0.1,1,379.97,47.49187376828573
ArN2,0.1,1,380.33,44.95186889219915
ArN2,0.1,1,380.69,43.85480242204962
ArN2,0.1,1,381.05,43.14204139867129
ArN2,0.1,1,381.41,42.719726489250924
ArN2,0.1,1,381.77,42.5424372085053
ArN2,0.1,1,382.13,39.03220304901728
ArN2,0.1,1,382.49,34.48034870660445
ArN2,0.1,1,382.85,31.82767604273755
ArN2,0.1,1,383.21,23.15493227538804
ArN2,0.1,1,383.57,14.556313155645714
ArN2,0.1,1,383.93,10.179344185354207
ArN2,0.1,1,384.28,7.070089357316143
ArN2,0.1,1,384.64,3.7520476439424635
ArN2,0.1,1,385.0,2.8216554165898007
ArN2,0.1,1,385.36,2.7951308177619985
ArN2,0.1,1,385.72,2.7133047912521557
ArN2,0.1,1,386.08,2.7133047912521557
ArN2,0.1,1,386.44,2.7133047912521557
ArN2,0.1,1,386.8,2.7398293900799566
ArN2,0.1,1,387.16,3.028977666088346
ArN2,0.1,1,387.52,3.0750426884198134
ArN2,0.1,1,387.87,3.616063144480688
ArN2,0.1,1,388.23,4.0263143174108755
ArN2,0.1,1,388.59,4.145165981720974
ArN2,0.1,1,388.95,4.145165981720974
ArN2,0.1,1,389.31,4.270632555702734
ArN2,0.1,1,389.67,4.35337227705374
ArN2,0.1,1,390.03,4.270632555702734
ArN2,0.1,1,390.38,4.089870194086246
ArN2,0.1,1,390.74,3.8656845710093672
ArN2,0.1,1,391.1,4.062820424884084
ArN2,0.1,1,391.46,4.270632555702734
ArN2,0.1,1,391.82,4.062820424884084
ArN2,0.1,1,392.18,4.284721324210689
ArN2,0.1,1,392.54,4.212593197139049
ArN2,0.1,1,392.89,4.212593197139049
ArN2,0.1,1,393.25,4.532277525048404
ArN2,0.1,1,393.61,4.245237019355145
ArN2,0.1,1,393.97,4.511307963238569
ArN2,0.1,1,394.33,4.703274419082297
ArN2,0.1,1,394.68,4.96123979836253
ArN2,0.1,1,395.04,4.96123979836253
ArN2,0.1,1,395.4,5.268170207349291
ArN2,0.1,1,395.76,5.388806842184944
ArN2,0.1,1,396.12,5.95163136315212
ArN2,0.1,1,396.47,6.540831579584081
ArN2,0.1,1,396.83,7.172888838882872
ArN2,0.1,1,397.19,7.55252744933653
ArN2,0.1,1,397.55,7.694012875068894
ArN2,0.1,1,397.9,7.535902478871038
ArN2,0.1,1,398.26,7.857826711702043
ArN2,0.1,1,398.62,7.857826711702043
ArN2,0.1,1,398.98,9.015669497984025
ArN2,0.1,1,399.33,9.395941349717871
ArN2,0.1,1,399.69,10.045055845735401
ArN2,0.1,1,400.05,13.813219720573457
ArN2,0.1,1,400.41,15.600032016794739
ArN2,0.1,1,400.76,15.916009368984602
ArN2,0.1,1,401.12,16.286734606594997
ArN2,0.1,1,401.48,16.321802903670648
