mixture,kind,concentration_percent,pressure_bar,wavelength_nm,intensity_ph_MeV_nm
ArN2,model,0.1,1,319.5097548774387,0.0107364074057316
ArN2,model,0.1,1,319.75987993997,0.014110736711081854
ArN2,model,0.1,1,320.01000500250126,0.018463254868601963
ArN2,model,0.1,1,320.2601300650325,0.024051087131590872
ArN2,model,0.1,1,320.51025512756377,0.031190980646530548
ArN2,model,0.1,1,320.760380190095,0.040270889041253116
ArN2,model,0.1,1,321.01050525262633,0.05176321903710549
ArN2,model,0.1,1,321.2606303151576,0.06623982948393368
ArN2,model,0.1,1,321.51075537768884,0.08438883782811442
ArN2,model,0.1,1,321.7608804402201,0.10703324115188453
ArN2,model,0.1,1,322.0110055027514,0.13515129714777352
ArN2,model,0.1,1,322.26113056528266,0.16989853358915147
ArN2,model,0.1,1,322.5112556278139,0.21263116234030557
ArN2,model,0.1,1,322.76138069034516,0.26493056562661066
ArN2,model,0.1,1,323.0115057528764,0.3286283988316312
ArN2,model,0.1,1,323.2616308154077,0.4058317171042175
ArN2,model,0.1,1,323.511755877939,0.4989473852277752
ArN2,model,0.1,1,323.76188094047023,0.6107048754173983
ArN2,model,0.1,1,324.0120060030015,0.7441764011545312
ArN2,model,0.1,1,324.26213106553274,0.9027931833621422
ArN2,model,0.1,1,324.51225612806405,1.0903565059721037
ArN2,model,0.1,1,324.7623811905953,1.3110421002183767
ArN2,model,0.1,1,325.01250625312656,1.5693963107320166
ArN2,model,0.1,1,325.2626313156578,1.8703224522653719
ArN2,model,0.1,1,325.5127563781891,2.2190557743852777
ArN2,model,0.1,1,325.7628814407204,2.621125523150639
ArN2,model,0.1,1,326.01300650325163,3.082302733079895
ArN2,model,0.1,1,326.2631315657829,3.6085326073988315
ArN2,model,0.1,1,326.51325662831414,4.205850655046518
ArN2,model,0.1,1,326.76338169084545,4.8802821514678065
ArN2,model,0.1,1,327.0135067533767,5.637724975291326
ArN2,model,0.1,1,327.26363181590796,6.483816438620247
ArN2,model,0.1,1,327.5137568784392,7.423785364007131
ArN2,model,0.1,1,327.76388194097046,8.462291350323122
ArN2,model,0.1,1,328.0140070035018,9.603253891600751
ArN2,model,0.1,1,328.264132066033,10.849674741686103
ArN2,model,0.1,1,328.5142571285643,12.20345762314005
ArN2,model,0.1,1,328.76438219109554,13.665230027971313
ArN2,model,0.1,1,329.0145072536268,15.234172415234687
ArN2,model,0.1,1,329.2646323161581,16.90786054056828
ArN2,model,0.1,1,329.51475737868935,18.68212692107261
ArN2,model,0.1,1,329.7648824412206,20.550947514547552
ArN2,model,0.1,1,330.01500750375186,22.506359549263728
ArN2,model,0.1,1,330.2651325662831,24.538416060743018
ArN2,model,0.1,1,330.5152576288144,26.63518206594836
ArN2,model,0.1,1,330.7653826913457,28.782776433849747
ArN2,model,0.1,1,331.01550775387693,30.96546240698883
ArN2,model,0.1,1,331.2656328164082,33.1657884157621
ArN2,model,0.1,1,331.5157578789395,35.36477934193494
ArN2,model,0.1,1,331.76588294147075,37.542176777527004
ArN2,model,0.1,1,332.016008004002,39.67672514646916
ArN2,model,0.1,1,332.26613306653326,41.74649887342122
ArN2,model,0.1,1,332.5162581290645,43.72926416582048
ArN2,model,0.1,1,332.7663831915958,45.6028674920362
ArN2,model,0.1,1,333.0165082541271,47.3456415591508
ArN2,model,0.1,1,333.26663331665833,48.93681858168879
ArN2,model,0.1,1,333.5167583791896,50.356939942051355
ArN2,model,0.1,1,333.7668834417209,51.58825101710812
ArN2,model,0.1,1,334.01700850425215,52.61507001125489
ArN2,model,0.1,1,334.2671335667834,53.42412010570962
ArN2,model,0.1,1,334.51725862931465,54.004815100521796
ArN2,model,0.1,1,334.7673836918459,54.34948996545729
ArN2,model,0.1,1,335.0175087543772,54.45356928701828
ArN2,model,0.1,1,335.26763381690847,54.31566844426195
ArN2,model,0.1,1,335.5177588794397,53.93762439559457
ArN2,model,0.1,1,335.767883941971,53.32445513234633
ArN2,model,0.1,1,336.01800900450223,52.48424906669825
ArN2,model,0.1,1,336.26813406703354,51.4279877836211
ArN2,model,0.1,1,336.5182591295648,50.16930761352383
ArN2,model,0.1,1,336.76838419209605,48.724207295459486
ArN2,model,0.1,1,337.0185092546273,47.110710531499656
ArN2,model,0.1,1,337.26863431715856,45.34849342617339
ArN2,model,0.1,1,337.51875937968987,43.458487621513264
ArN2,model,0.1,1,337.7688844422211,41.462470356442765
ArN2,model,0.1,1,338.0190095047524,39.382652695134624
ArN2,model,0.1,1,338.26913456728363,37.241276796350604
ArN2,model,0.1,1,338.5192596298149,35.06023236463265
ArN2,model,0.1,1,338.7693846923462,32.86070137885521
ArN2,model,0.1,1,339.01950975487745,30.662838889755296
ArN2,model,0.1,1,339.2696348174087,28.485496179587223
ArN2,model,0.1,1,339.51975987993995,26.34599095277199
ArN2,model,0.1,1,339.7698849424712,24.259927546207425
ArN2,model,0.1,1,340.0200100050025,22.24106847960049
ArN2,model,0.1,1,340.2701350675338,20.301257072232925
ArN2,model,0.1,1,340.520260130065,18.450389387596744
ArN2,model,0.1,1,340.7703851925963,16.696432476095914
ArN2,model,0.1,1,341.0205102551276,15.045484801919342
ArN2,model,0.1,1,341.27063531765884,13.50187388485346
ArN2,model,0.1,1,341.5207603801901,12.068285570790714
ArN2,model,0.1,1,341.77088544272135,10.745918964370038
ArN2,model,0.1,1,342.02101050525266,9.53466090168165
