mixture,kind,concentration_percent,pressure_bar,wavelength_nm,intensity_ph_MeV_nm,experimental_scale,normalisation_reference
ArCF4,model,0.1,1.0,221.31065532766382,11.46096743147303,1.0,none
ArCF4,model,0.1,1.0,221.61080540270135,11.430013090615251,1.0,none
ArCF4,model,0.1,1.0,221.91095547773887,11.398541441581584,1.0,none
ArCF4,model,0.1,1.0,222.2111055527764,11.366556116382162,1.0,none
ArCF4,model,0.1,1.0,222.5112556278139,11.334060786596805,1.0,none
ArCF4,model,0.1,1.0,222.81140570285143,11.301059164287636,1.0,none
ArCF4,model,0.1,1.0,223.11155577788895,11.267555002947471,1.0,none
ArCF4,model,0.1,1.0,223.41170585292647,11.233552098480905,1.0,none
ArCF4,model,0.1,1.0,223.711855927964,11.19905429021498,1.0,none
ArCF4,model,0.1,1.0,224.0120060030015,11.16406546193614,1.0,none
ArCF4,model,0.1,1.0,224.312156078039,11.128589542950118,1.0,none
ArCF4,model,0.1,1.0,224.61230615307653,11.092630509161369,1.0,none
ArCF4,model,0.1,1.0,224.91245622811405,11.05619238416848,1.0,none
ArCF4,model,0.1,1.0,225.21260630315157,11.019279240372017,1.0,none
ArCF4,model,0.1,1.0,225.5127563781891,10.981895200091163,1.0,none
ArCF4,model,0.1,1.0,225.81290645322662,10.944044436685445,1.0,none
ArCF4,model,0.1,1.0,226.11305652826414,10.905731175677806,1.0,none
ArCF4,model,0.1,1.0,226.41320660330166,10.86695969587534,1.0,none
ArCF4,model,0.1,1.0,226.71335667833918,10.82773433048373,1.0,none
ArCF4,model,0.1,1.0,227.0135067533767,10.788059468211797,1.0,none
ArCF4,model,0.1,1.0,227.3136568284142,10.747939554362144,1.0,none
ArCF4,model,0.1,1.0,227.61380690345172,10.707379091904215,1.0,none
ArCF4,model,0.1,1.0,227.91395697848924,10.666382642525944,1.0,none
ArCF4,model,0.1,1.0,228.21410705352676,10.624954827660183,1.0,none
ArCF4,model,0.1,1.0,228.51425712856428,10.583100329482189,1.0,none
ArCF4,model,0.1,1.0,228.8144072036018,10.540823891874473,1.0,none
ArCF4,model,0.1,1.0,229.11455727863932,10.498130321355346,1.0,none
ArCF4,model,0.1,1.0,229.41470735367685,10.45502448796757,1.0,none
ArCF4,model,0.1,1.0,229.71485742871437,10.411511326123545,1.0,none
ArCF4,model,0.1,1.0,230.0150075037519,10.367595835403675,1.0,none
ArCF4,model,0.1,1.0,230.3151575787894,10.323283081304442,1.0,none
ArCF4,model,0.1,1.0,230.6153076538269,10.278578195932967,1.0,none
ArCF4,model,0.1,1.0,230.91545772886442,10.233486378644852,1.0,none
ArCF4,model,0.1,1.0,231.21560780390195,10.18801289662232,1.0,none
ArCF4,model,0.1,1.0,231.51575787893947,10.14216308538958,1.0,none
ArCF4,model,0.1,1.0,231.815907953977,10.095942349262668,1.0,none
ArCF4,model,0.1,1.0,232.1160580290145,10.049356161731081,1.0,none
ArCF4,model,0.1,1.0,232.41620810405203,10.002410065768595,1.0,none
ArCF4,model,0.1,1.0,232.71635817908955,9.955109674070881,1.0,none
ArCF4,model,0.1,1.0,233.01650825412707,9.907460669217658,1.0,none
ArCF4,model,0.1,1.0,233.31665832916457,9.859468803757245,1.0,none
ArCF4,model,0.1,1.0,233.61680840420212,9.811139900211561,1.0,none
ArCF4,model,0.1,1.0,233.9169584792396,9.76247985099985,1.0,none
ArCF4,model,0.1,1.0,234.21710855427713,9.713494618279315,1.0,none
